     	 LA-C1 	 LA-C2 	 LA-C3 	 LA-C4 	 LA-C5 	 LA-C6 	 LA-C7	
 A07  	  0.51 	  1.14 	  0.61 	  0.67 	  1.35 	  1.73 	  0.43 	
 A08  	  0.94 	  0.88 	  0.88 	  1.09 	  1.03 	  1.10 	  0.68 	
 A09  	  0.06 	  0.22 	  0.06 	  0.15 	  0.30 	  0.38 	  0.05 	
 A10  	  1.86 	  1.77 	  0.97 	  2.13 	  2.02 	  2.43 	  1.40 	
 A11  	  0.67 	  1.34 	  0.88 	  1.44 	  1.58 	  1.96 	  0.98 	
 A12  	  0.24 	  0.98 	  2.21 	  0.52 	  0.55 	  1.11 	  0.25 	
 A13  	  0.06 	  0.30 	  0.15 	  0.31 	  0.37 	  0.55 	  0.18 	
 A14  	  0.76 	  0.98 	  0.30 	  1.14 	  1.16 	  1.53 	  0.60 	
 A15  	  1.27 	  1.08 	  0.51 	  1.79 	  1.31 	  1.79 	  1.06 	
 A16  	  0.21 	  0.79 	  1.10 	  0.52 	  0.72 	  1.22 	  0.35 	
 A17  	  9.03 	  7.22 	  6.61 	  9.18 	  7.39 	 10.91 	  8.14 	
 A18  	  9.23 	  9.47 	 23.74 	  9.00 	  9.25 	 11.19 	 10.36 	
 A19  	  1.34 	  1.13 	  2.77 	  1.04 	  1.23 	  1.96 	  1.36
