      	 LA-C1 	 LA-C2 	 LA-C3 	 LA-C4 	 LA-C5 	 LA-C6 	 LA-C7	
 A07  	 0.0719	 0.1761	 0.2372	 0.0825	 0.1835	 0.2412	 0.0685	
 A08  	 0.0818	 0.1858	 0.2589	 0.0945	 0.1901	 0.2544	 0.0766	
 A09  	 0.2433	 0.3387	 0.3714	 0.2787	 0.3351	 0.3804	 0.2726	
 A10  	 0.1007	 0.1881	 0.2469	 0.1168	 0.2009	 0.2559	 0.0943	
 A11  	 0.0757	 0.1779	 0.2393	 0.0954	 0.1891	 0.2484	 0.0828	
 A12  	 0.0678	 0.1785	 0.2738	 0.0767	 0.1748	 0.2373	 0.0657	
 A13  	 0.0632	 0.1783	 0.2692	 0.0742	 0.1849	 0.2417	 0.0634	
 A14  	 0.0763	 0.1691	 0.2221	 0.0932	 0.1761	 0.2374	 0.0715	
 A15  	 0.0920	 0.1707	 0.2235	 0.1105	 0.1783	 0.2370	 0.0826	
 A16  	 0.0643	 0.1577	 0.2317	 0.0766	 0.1610	 0.2222	 0.0643	
 A17  	 0.9276	 0.8949	 0.8101	 0.9683	 0.8848	 0.8283	 0.9252	
 A18  	 0.5909	 0.7354	 0.8644	 0.5838	 0.7469	 0.7244	 0.6058	
 A19  	 0.1232	 0.3478	 0.3979	 0.1270	 0.3709	 0.4355	 0.1270
